["in","LEFT"]
["out1","RIGHT"]
["out2","RIGHT"]
("in","mode 1",1,"in",1,"transmission")
(5, 3)
1.8737028624999997e+14 7.1477422030087501e-02 -2.2099538939897712e+00
1.9049312435416662e+14 5.8997828683894200e-02 -2.0176349623812122e+00
1.9361596245833331e+14 4.8345062047991119e-02 -2.0725938533367922e+00
1.9673880056250000e+14 3.8299377460155604e-02 -2.2449643611964696e+00
1.9986163866666666e+14 4.0171990495493512e-02 -2.3493487781302735e+00
("in","mode 1",1,"out1",1,"transmission")
(5, 3)
1.8737028624999997e+14 4.3626715018497858e-01 -1.8064026465232044e+00
1.9049312435416662e+14 4.7719385753612614e-01 -4.5093473402889712e+00
1.9361596245833331e+14 5.1305264631034142e-01 -7.0220796011076407e+00
1.9673880056250000e+14 5.5261472975004400e-01 -9.3770154234949672e+00
1.9986163866666666e+14 5.9166595055388671e-01 -1.1609084013131152e+01
("in","mode 1",1,"out2",1,"transmission")
(5, 3)
1.8737028624999997e+14 4.3731092520789205e-01 -1.7973573914170697e+00
1.9049312435416662e+14 4.7808823212170137e-01 -4.4994145869347681e+00
1.9361596245833331e+14 5.1407874336181270e-01 -7.0112262650883856e+00
1.9673880056250000e+14 5.5377666926524061e-01 -9.3658686021370894e+00
1.9986163866666666e+14 5.9268857938589170e-01 -1.1597318024818163e+01
("out1","mode 1",1,"in",1,"transmission")
(5, 3)
1.8737028624999997e+14 4.2962532338049308e-01 -1.8311702217735650e+00
1.9049312435416662e+14 4.7101911667984148e-01 -4.5308035886734510e+00
1.9361596245833331e+14 5.0726772635338324e-01 -7.0418970525127058e+00
1.9673880056250000e+14 5.4648103528097380e-01 -9.3949186192097009e+00
1.9986163866666666e+14 5.8464749685579065e-01 -1.1625182438331692e+01
("out1","mode 1",1,"out1",1,"transmission")
(5, 3)
1.8737028624999997e+14 6.5601282727990096e-02 -2.5373104300869129e+00
1.9049312435416662e+14 5.7016523379725598e-02 -2.3714203578072524e+00
1.9361596245833331e+14 5.6779813022523599e-02 -2.3832745838833151e+00
1.9673880056250000e+14 5.5203652288534959e-02 -2.3340530102459041e+00
1.9986163866666666e+14 4.4441837597439901e-02 -2.1473945454327095e+00
("out1","mode 1",1,"out2",1,"transmission")
(5, 3)
1.8737028624999997e+14 4.6982320546080897e-02 4.4874830240868069e-01
1.9049312435416662e+14 4.2276841780006555e-02 -1.2726641471598878e+00
1.9361596245833331e+14 3.0234038195269913e-02 -2.9052493851064534e+00
1.9673880056250000e+14 1.0097212745936125e-02 -4.0183638872214775e+00
1.9986163866666666e+14 1.0978043185253722e-02 -5.0347815566500529e+00
("out2","mode 1",1,"in",1,"transmission")
(5, 3)
1.8737028624999997e+14 4.3081779759437944e-01 -1.8224283149340939e+00
1.9049312435416662e+14 4.7204822028125676e-01 -4.5209585931732121e+00
1.9361596245833331e+14 5.0836282159969759e-01 -7.0308766842713633e+00
1.9673880056250000e+14 5.4764806889816797e-01 -9.3833884092854589e+00
1.9986163866666666e+14 5.8559728880899176e-01 -1.1612875822547004e+01
("out2","mode 1",1,"out1",1,"transmission")
(5, 3)
1.8737028624999997e+14 4.7008013779297482e-02 4.4802213688006864e-01
1.9049312435416662e+14 4.2270167721686326e-02 -1.2731833696128672e+00
1.9361596245833331e+14 3.0211126951077891e-02 -2.9047404540378761e+00
1.9673880056250000e+14 1.0111265919916705e-02 -4.0152135434269933e+00
1.9986163866666666e+14 1.1004585061836365e-02 -5.0357611184019113e+00
("out2","mode 1",1,"out2",1,"transmission")
(5, 3)
1.8737028624999997e+14 6.3135216925080562e-02 -2.5252531307599049e+00
1.9049312435416662e+14 5.5016453461979420e-02 -2.3566960867204254e+00
1.9361596245833331e+14 5.4965026665699725e-02 -2.3583071626472871e+00
1.9673880056250000e+14 5.3781456847924201e-02 -2.2954530659753476e+00
1.9986163866666666e+14 4.3143218636274960e-02 -2.1059351712928849e+00
